assembly_id,total_num_genes,total_num_genes_inside_mges,total_num_genes_outside_mges,percent_total_genes_in_mge,num_duplicate_genes,num_duplicate_genes_inside_mge,num_duplicate_genes_outside_mge,percent_duplicate_genes_in_mge,p_val
GCA_024763995.1,5326,558,4768,10.477,223,116,107,52.018,7.782e-74
GCA_024764015.1,5174,760,4414,14.689,327,205,122,62.691,5.385e-136
GCA_024764875.1,5127,371,4756,7.236,171,93,78,54.386,2.571e-79
GCA_024765025.1,5294,753,4541,14.224,395,161,234,40.759,2.505e-53
GCA_024765115.1,5021,264,4757,5.258,184,60,124,32.609,7.636e-38
GCA_024765155.1,5302,404,4898,7.62,187,79,108,42.246,2.666e-49
GCA_024765175.1,5272,349,4923,6.62,274,95,179,34.672,4.309e-54
GCA_024765185.1,5291,340,4951,6.426,268,76,192,28.358,2.732e-35
GCA_024765295.1,4891,164,4727,3.353,176,53,123,30.114,2.542e-42
GCA_024765305.1,5053,363,4690,7.184,260,56,204,21.538,3.192e-16
GCA_024765335.1,5055,360,4695,7.122,246,63,183,25.61,2.676e-23
GCA_024765395.1,5057,340,4717,6.723,256,66,190,25.781,3.401e-26
GCA_024765435.1,5020,489,4531,9.741,178,120,58,67.416,6.035e-113
GCA_024765455.1,5203,311,4892,5.977,181,79,102,43.646,2.358e-60
GCA_024765465.1,5418,354,5064,6.534,410,91,319,22.195,5.107e-31
GCA_024765485.1,4892,164,4728,3.352,180,55,125,30.556,1.704e-44
GCA_024765535.1,5134,327,4807,6.369,195,67,128,34.359,1.787e-38
GCA_024765615.1,5339,682,4657,12.774,227,101,126,44.493,4.611e-43
GCA_024765655.1,4888,402,4486,8.224,163,60,103,36.81,3.882e-30
GCA_024765675.1,5007,138,4869,2.756,130,22,108,16.923,6.204e-13
GCA_024765735.1,4659,161,4498,3.456,101,31,70,30.693,1.787e-24
GCA_024765775.1,5395,918,4477,17.016,287,137,150,47.735,1.098e-47
GCA_024765795.1,5173,576,4597,11.135,410,198,212,48.293,1.783e-113
GCA_024765805.1,5227,317,4910,6.065,226,74,152,32.743,3.792e-42
GCA_024765835.1,5335,463,4872,8.679,199,82,117,41.206,6.513e-45
GCA_024765855.1,4983,201,4782,4.034,108,25,83,23.148,2.608e-14
GCA_024765865.1,5139,302,4837,5.877,258,54,204,20.93,3.742e-19
GCA_024765895.1,4834,220,4614,4.551,129,19,110,14.729,1.804e-06
